Language,Training Hours,CER
bpr_Latn,19.5,0.4
bps_Latn,21.2,1.0
bqc_Latn,13.9,3.4
bqg_Latn,6.7,34.9
bqi_Arab,2.5,2.8
bqj_Latn,45.9,1.0
bqp_Latn,30.4,3.2
bra_Deva,6.6,25.6
bre_Latn,3.3,19.4
brh_Arab,13.0,8.2
bri_Latn,7.5,18.9
bru_Latn,24.2,0.8
brx_Deva,6.9,30.9
bsc_Latn,20.5,1.9
bsh_Arab,6.8,10.3
bsj_Latn,6.6,24.1
bsk_Latn,7.1,5.3
bsq_Latn,35.0,1.4
bss_Latn,20.3,5.0
bsy_Latn,7.4,10.3
btd_Latn,38.8,0.6
btm_Latn,7.5,10.2
bts_Latn,45.2,0.5
btt_Latn,47.1,2.9
btv_Arab,7.2,4.8
btx_Latn,118.4,0.3
bud_Latn,21.0,2.9
bug_Latn,7.4,10.3
bul_Cyrl,187.5,2.3
bum_Latn,28.2,8.8
buo_Latn,6.8,17.1
bus_Latn,30.6,3.1
bux_Latn,5.8,23.0
bvb_Latn,7.0,31.2
bvc_Latn,29.2,1.9
bvz_Latn,71.0,1.1
bwq_Latn,19.8,1.8
bwr_Latn,7.2,30.3
bwu_Latn,27.3,2.2
bxf_Latn,6.8,20.4
bxk_Latn,6.8,12.6
byc_Latn,7.3,37.3
byr_Latn,62.7,1.4
bys_Latn,7.0,19.9
byv_Latn,10.2,57.3
byx_Latn,6.3,36.0
bzh_Latn,43.0,1.1
bzi_Thai,28.0,2.5
bzj_Latn,44.4,0.4
bzw_Latn,6.8,33.8
caa_Latn,34.2,2.0
cab_Latn,89.0,2.0
cac_Latn,55.1,3.0
cak_Latn,203.8,1.9
cap_Latn,24.1,1.3
car_Latn,24.1,1.8
cas_Latn,30.0,1.5
cat_Latn,2012.8,1.4
cax_Latn,22.2,0.9
cbc_Latn,30.2,1.3
cbi_Latn,59.9,0.6
cbr_Latn,59.2,1.5
cbs_Latn,33.1,0.9
cbt_Latn,22.0,3.0
cbu_Latn,34.0,1.6
cbv_Latn,26.2,2.0
cce_Latn,39.4,0.8
ccg_Latn,5.8,35.8
cco_Latn,21.0,2.5
cdj_Deva,26.0,1.9
cdo_Hans,6.0,121.1
ceb_Latn,196.8,2.0
ceg_Latn,22.2,1.6
cek_Latn,52.6,0.6
cen_Latn,6.6,30.7
ces_Latn,318.3,1.9
cfa_Latn,7.0,36.3
cfm_Latn,21.3,1.2
cgc_Latn,49.6,0.4
cgg_Latn,46.0,12.4
che_Cyrl,34.6,2.5
chf_Latn,4.9,1.2
chq_Latn,6.5,34.2
chv_Cyrl,54.2,6.0
chz_Latn,20.7,3.9
cjk_Latn,15.6,9.1
cjo_Latn,61.4,0.6
cjp_Latn,18.7,1.5
cjs_Cyrl,4.4,2.4
ckb_Arab,59.6,6.0
ckl_Latn,6.6,32.3
cko_Latn,22.8,2.6
ckr_Latn,6.6,20.5
ckt_Cyrl,3.0,3.1
cky_Latn,5.9,19.1
cla_Latn,36.2,1.3
cle_Latn,40.9,1.4
cly_Latn,17.8,2.8
cme_Latn,18.8,3.0
cmn_Hans,9941.5,11.5
cmn_Hant,229.4,11.8
cmo_Khmr,48.9,1.5
cmo_Latn,48.9,0.5
cmr_Latn,48.6,1.0
cnh_Latn,47.6,4.4
cni_Latn,29.0,0.7
cnl_Latn,41.5,2.3
cnt_Latn,18.3,3.4
coe_Latn,23.5,1.0
cof_Latn,63.3,1.1
cok_Latn,58.7,2.5
con_Latn,24.4,1.4
cor_Latn,9.5,1.1
cot_Latn,70.5,0.4
cou_Latn,20.7,2.1
cpa_Latn,20.9,2.1
cpb_Latn,63.7,0.4
cpu_Latn,62.4,0.6
cpx_Hans,7.0,41.8
cpy_Latn,7.0,3.5
crh_Cyrl,38.6,0.5
crk_Cans,30.7,3.8
crk_Latn,18.0,0.9
crn_Latn,32.3,4.1
crq_Latn,63.7,3.6
crs_Latn,38.6,0.3
crt_Latn,61.3,1.8
csk_Latn,24.1,1.1
cso_Latn,42.5,1.0
ctd_Latn,43.4,1.9
cte_Latn,6.9,29.2
ctg_Beng,38.7,1.5
ctl_Latn,6.2,16.8
cto_Latn,11.9,1.0
ctu_Latn,26.5,3.3
cuc_Latn,19.5,2.6
cui_Latn,66.9,0.8
cuk_Latn,32.7,2.2
cul_Latn,70.5,1.8
cut_Latn,7.1,10.7
cux_Latn,7.2,12.6
cwa_Latn,50.4,0.8
cwe_Latn,36.2,0.9
cwt_Latn,20.9,2.3
cya_Latn,17.8,2.3
cym_Latn,101.7,4.0
daa_Latn,18.0,2.0
dag_Latn,7.1,3.8
dah_Latn,56.3,0.2
dan_Latn,286.8,5.0
dar_Cyrl,1.7,1.9
dav_Latn,2.3,26.6
dbd_Latn,6.1,43.2
dbj_Latn,5.6,1.1
dbq_Latn,53.8,0.9
dcc_Arab,5.9,29.8
ddn_Latn,32.2,2.4
ded_Latn,20.0,1.3
deg_Latn,7.7,35.5
des_Latn,29.4,1.2
deu_Latn,5289.3,1.5
